Timestamp,What is your age limit?,What genres game do you like?,How long do you play games in average?,Please select your internet speed.,Can you please select the GPU that you are currently using?,"Can you please select an estimate of your monthly gaming cost(Including purchasing Game and Game Items , In app Purchase, And Net Bill)?",What is your preferred CPU model?,What do you seek in a game?,What is your RAM size?,Preference
10/8/2020 14:09:20,16-28,Action-adventure games.,1-1.5 hours,100mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Graphics (With or without Ray tracing on),12GB,Very High
10/8/2020 14:10:07,16-28,Action games.,2-3hours,10mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/8/2020 14:16:31,16-28,Action-adventure games.,2-3hours,10mbps,Lower,500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",12GB,Low
10/8/2020 14:16:42,16-28,Action-adventure games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Graphics (With or without Ray tracing on),16GB,High
10/8/2020 14:21:58,16-28,Action-adventure games.,4-5hours,30mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),Intel,Story,16GB,Medium
10/8/2020 14:34:10,16-28,Role-playing games.,30-50min,15mbps,"RX500 series (Could be 590,580,570,560,550)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Graphics (With or without Ray tracing on),16GB,Medium
10/8/2020 15:13:39,16-28,Action games.,1-1.5 hours,5mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),Graphics (With or without Ray tracing on),16GB,High
10/8/2020 15:19:01,29-40,Action-adventure games.,2-3hours,10mbps,"RX5000 series (Could be 5700xt,5600xt,5500xt)",500-2k (BDT),Intel,Way to pass time,8GB,High
10/8/2020 15:28:11,16-28,Action-adventure games.,30-50min,,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Low
10/8/2020 15:42:31,16-28,Adventure games.,9+ Hours,25mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/8/2020 15:49:45,16-28,Action-adventure games.,4-5hours,5mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )",500-2k (BDT),AMD (Ryzen),Story,16GB,Medium
10/8/2020 16:44:42,29-40,Action-adventure games.,1-1.5 hours,40mbps,AMD Vega series GPU,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Way to pass time,16GB,Medium
10/8/2020 16:47:53,16-28,Action games.,1-1.5 hours,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Low
10/8/2020 17:35:34,16-28,Action-adventure games.,2-3hours,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,8GB,Low
10/8/2020 18:10:09,16-28,Action-adventure games.,4-5hours,10mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,"Thrill (Online games mostly FPS,TPS)",8GB,High
10/8/2020 18:19:29,16-28,Strategy games.,30-50min,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,Story,8GB,Medium
10/8/2020 18:32:20,16-28,Action-adventure games.,4-5hours,25mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),Story,8GB,Medium
10/8/2020 18:32:59,16-28,Role-playing games.,6-8hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,12GB,High
